gas_type;baseline_average;max_resistance;rise_time;fall_time;rise_gradient;fall_gradient
acetone;13.77;16.46;267;97;0.014;-0.052
acetone;16.04;17.42;38;75;0.027;-0.086
acetone;15.8;16.72;24;61;0.036;-0.067
acetone;16.15;17.28;30;82;0.045;-0.075
acetone;15.92;16.73;60;64;0.014;-0.046
acetone;17.2;18.18;26;70;0.041;-0.094
acetone;14.91;17.72;157;110;0.017;-0.057
ethanol;14.07;15.5;75;150;0.018;-0.067
ethanol;12.33;14.22;293;294;0.006;-0.03
ethanol;14.34;16.99;77;136;0.032;-0.05
ethanol;14.66;17.77;65;173;0.046;-0.043
ethanol;15.11;19.64;86;140;0.049;-0.059
